syscall_nr,name,status,notes
449,futex_waitv,implemented,"The new primitive: park on up to 128 futexes at once, wake when ANY signals. Used by modern async runtimes. New `futex::wait_multi` enqueues the calling pid on each futex's `WaitQueue` (multi-queue park, same hook epoll_wait uses), parks via `park_self`, on wake dequeues from all + re-reads each *uaddr to identify which one changed. Returns the index (0..nr) on wake, -EAGAIN if any *uaddr already differs at registration, -ETIMEDOUT/-EINTR for the usual exits. Validates flags (FUTEX2_SIZE_U32 only — other sizes -EINVAL). 24-byte `struct futex_waitv` per entry. **Caveat:** per-entry mask is OR'd into a single bitset rather than gated per-entry — a relaxation of the spec. In the dominant case `mask == ~0` (any-waker-wakes-you, which is the only mask `struct futex_waitv` even has a field for) the behavior is identical; per-entry bitset-mask filtering would diverge."
450,set_mempolicy_home_node,implemented,Single-NUMA correct: accepts `home_node == 0` (returns 0); any higher node is -EINVAL. Introduced alongside MPOL_PREFERRED_MANY.
451,cachestat,missing,
452,fchmodat2,implemented,Routes to `fchmodat`. The 4th `flags` argument (added 2023; `AT_SYMLINK_NOFOLLOW` etc.) is accepted but not honored — we don't model symlink-vs-target-mode distinctly.
453,map_shadow_stack,missing,
454,futex_wake,implemented,Modern shape of `FUTEX_WAKE_BITSET`. Wraps `futex::wake_bitset` with the per-call `mask` arg directly exposed (legacy futex(2) buried it in `val3`). Validates FUTEX2_SIZE_U32.
455,futex_wait,implemented,Modern shape of `FUTEX_WAIT_BITSET` with absolute timeout + clockid. Wraps `futex::wait_bitset`. Accepts CLOCK_REALTIME / CLOCK_MONOTONIC.
456,futex_requeue,implemented,Modern shape of `FUTEX_CMP_REQUEUE`. `waiters[]` is a 2-entry `struct futex_waitv` array (src + dst). Wraps `futex::requeue` with the val from waiters[0] as the cmp value.
457,statmount,missing,
458,listmount,missing,
459,lsm_get_self_attr,missing,
460,lsm_set_self_attr,missing,
461,lsm_list_modules,missing,
462,mseal,missing,
463,setxattrat,implemented,"`dirfd` honored — the `at` variants pass their dirfd through to the shared handler. AT_FDCWD resolves the path relative to the current working directory; a non-AT_FDCWD dirfd resolves relative to that directory fd. The `at_flags` argument (`AT_EMPTY_PATH`, `AT_SYMLINK_NOFOLLOW`) is preserved-but-not-honored — the symlink-vs-target xattr distinction is not supported."
464,getxattrat,implemented,Same shape — dirfd-aware.
465,listxattrat,implemented,Same shape — dirfd-aware.
466,removexattrat,implemented,Same shape — dirfd-aware.
467,open_tree_attr,missing,
468,file_getattr,missing,
469,file_setattr,missing,
470,listns,missing,
471,rseq_slice_yield,missing,
